英语,中文简体,中文繁体,日语,阿尔巴尼亚语,阿拉伯语,阿姆哈拉语,阿塞拜疆语,爱尔兰语,爱沙尼亚语,巴斯克语,白俄罗斯语,保加利亚语,冰岛语,波兰语,波斯尼亚语,波斯语,布尔语(南非荷兰语),丹麦语,德语,俄语,法语,菲律宾语,芬兰语,弗里西语,高棉语,格鲁吉亚语,古吉拉特语,哈萨克语,海地克里奥尔语,韩语,豪萨语,荷兰语,布尔吉斯语,加利西亚语,加泰罗尼亚语,捷克语,卡纳达语,科西塞语,克罗地亚语,库尔德语,拉丁语,拉脱维亚语,老挝语,立陶宛语,卢森堡语,罗马尼亚语,马尔加什语,马耳他语,马拉地语,马拉雅拉姆语,马来语,马其顿语,毛利语,蒙古语,孟加拉语,缅甸语,苗语,南非科萨语,南非祖鲁语,尼泊尔语,挪威语,旁遮普语,葡萄牙语,普什图语,齐切瓦语,瑞典语,萨摩亚语,塞尔维亚语,塞索托语,僧伽罗语,世界语,斯洛伐克语,斯洛文尼亚语,斯瓦希里语,苏格兰盖尔语,宿务语,索马里语,塔吉克语,泰卢固语,泰米尔语,泰语,土耳其语,威尔士语,乌尔都语,乌克兰语,乌兹别克语,西班牙语,希伯来语,希腊语,夏威夷语,信德语,匈牙利语,修纳语,亚美尼亚语,伊博语,意大利语,意第绪语,印地语,印尼異他语,印尼语,印尼爪哇语,约鲁巴语,越南语
gecko,壁虎,壁虎,ゲッコ,gekon,وزغة,ጌኬ,gecko,gecko,gecko,gecko,геккон,гущер,gecko,gekon,gecko,gecko,geitjie,gekko,Gecko,геккон,gecko,tuko,gecko,gecko,gecko,გექო,ગીકો,геккон,jeko,게코,gecko,gekko,геккон,gecko,gecko,gecko,ಗೆಕ್ಕೊ,gecko,tropski gušter,gecko,migale,gekons,gecko,Gecko,gecko,Gecko,Gecko,gecko,गीको,ഗെയ്ക്കോ,gecko,gecko,tika,gecko,টিকটিকি সরীসৃপ,တောက်တဲ့,gecko,gecko,gecko,जिको,gekko,ਗੈੱਕੋ,gecko,جوکو,gecko,gecko,gecko,гецко,gecko,gecko,gecko,jašterica,gecko,gecko,gecko,gecko,gecko,gecko,తొండ,பல்லி,ตุ๊กแก,geko,gecko,جوکو,гекко,gecko,gecko,שְׂמָמִית,είδος μικρής σαύρας,kāpili,جوڪو,gekkó,gecko,գեդկո,gecko,geco,געקאָ,छिपकली,gecko,tokek,gecko,gecko,con tắc kè
giraffe,长颈鹿,長頸鹿,キリン,gjirafë,زرافة,ቀጭኔ,zürafə,sioráf,kaelkirjak,jirafa,жыраф,жираф,gíraffi,żyrafa,žirafa,زرافه,kameelperd,giraf,Giraffe,жирафа,girafe,dyirap,kirahvi,sjiraffe,សត្វកវែង,ჟირაფი,જિરાફ,жираф,jiraf,기린,giraffe,giraffe,жираф,xirafa,girafa,žirafa,ಜಿರಾಫೆ,giraffa,žirafa,zirafa,panthera,žirafe,giraffe,žirafa,Giraff,girafă,Zirafy,Ġiraffe,जिराफ,ജിറാഫ്,jerapah,жирафа,kapi,анааш,জিরাফ,သစ်ကုလားအုပ်,giraffe,isirafu,isirafu,जिराफ,sjiraff,ਜਿਰਾਫ਼,girafa,جراف,girafa,giraff,selu,жирафа,giraffe,ජිරාෆ්ය,ĝirafo,žirafa,žirafa,žirafa,sirafas,giraffe,giraffe,заффор,జిరాఫీ,ஒட்டகச்சிவிங்கி,ยีราฟ,zürafa,giraffi,جراف,жирафа,Jirafa,Jirafa,ג'ִירָפָה,καμηλοπάρδαλη,ke kākā,جفا,zsiráf,giraffe,ընձուղտ,ugwo,giraffa,דזשעראַף,जिराफ़,jerapah,jerapah,jerapah,giraffe,con hươu cao cổ
grasshopper,蚱蜢,蚱蜢,バッタ,karkalec,الجراد,ፌንጣ,çəyirtkə,ceamair,rohutirts,Txitxarra,конік,скакалец,Grasshopper,konik polny,skakavac,ملخ,sprinkaan,græshoppe,Heuschrecke,кузнечик,sauterelle,tipaklong,heinäsirkka,grasshopper,កណ្តូប,grasshopper,ખડમાકડી,шегіртке,sotrèl,메뚜기,grasshopper,sprinkhaan,чегиртке,saltamontes,Llagosta,saranče,ಮಿಡತೆ,grasshopper,skakavac,kûllî,ac lucusta singula,sienāzis,ແມງ​ຕັກ​ແຕນ,žiogas,Kiischtebléien,lăcustă,valala,grasshopper,टोळधाड,മുൾപടർപ്പു,belalang,скакулец,te mawhitiwhiti,царцаа,ফড়িং,နှံကောင်,grasshopper,ingca,inhlanzi,घाँस,gresshoppe,ਟਿੱਡੀ,gafanhoto,واوره,nthiti,gräshoppa,sē,Скакавац,marata,ලෙවකලා,akridoj,koník,kobilica,kobilica,sgoltadh-gaoithe,balhiboon,qaboojiyaha,граммшоппер,మిడత,வெட்டுக்கிளி,ตั๊กแตน,çekirge,gwasgarwr,گھاس,коник,chigirtka,chigirtka,חָגָב,ακρίδα,ka'ūhini,چرهي,szöcske,mhashu,մորեխ,ohia,cavalletta,גראָזגרילער,टिड्डी,simeut,belalang,belik,koriko,grasshopper
goat,山羊,山羊,ヤギ,dhi,ماعز,ፍየል,keçi,gabhar,kits,ahuntz,каза,коза,geitur,Koza,koza,بز,bok,ged,Ziege,козел,chèvre,kambing,vuohi,geit,ពពែ,თხა,બકરી,ешкі,kabrit,염소,goat,geit,теке,cabra,cabra,koza,ಮೇಕೆ,capra,Jarac,bizin,capra,kaza,ແບ້,ožka,Geess,capră,osilahy,mogħża,शेळी,ആട്,kambing,коза,koati,ямаа,ছাগল,ဆိတ်,tshis,ibhokhwe,imbuzi,बकरी,geit,ਬੱਕਰੀ,bode,وزه,mbuzi,get,'oti,коза,pōli,එළු,kapro,koza,koza,koza,gobhar,kanding,riyaha,буз,మేక,வெள்ளாடு,แพะ,keçi,gafr,بکری,козел,echki,echki,עֵז,γίδα,ke kao,بکري,kecske,mbudzi,այծ,ewu,capra,ציג,बकरा,embe,kambing,wedhus,ewúrẹ,con dê
goose,鹅,鵝,ガチョウ,patë,بجعة,ዶሴ,kaz,gé,hani,antzara,гусь,гъска,gæs,gęś,guska,غاز,gans,gås,Gans,Гусь,oie,gansa,hanhi,Goes,goose,ბატი,હંસ,қаз,zwa,거위,Goose,gans,каз,ganso,oca,husa,ಹೆಬ್ಬಾತು,oca,guska,qaz,anseris aequabis,zoss,goose,žąsis,Gäns,gâscă,gisa,wiżż,हंस,വാത്ത്,angsa,гуска,kuihi,Галуу,হংসী,ဘဲငန်း,Goose,igusi,ihansi,हंस,gås,ਹੰਸ,Ganso,بته,tsekwe,gås,kusi,гуска,Lekhantsí,පාත්තයා,ansero,husia,gos,gos,gèadh,goose,Goose,қоз,గూస్,வாத்து,ห่าน,Kaz,gei,ہنس,гусак,g'oz,g'oz,אווז,χήνα,kui,ٻلو,liba,goose,սագը,ọgazị,Oca,גאַנדז,बत्तख,soang,angsa,angsa,Gussi,ngỗng
gopher,地鼠,地鼠,ゴーファー,Gopher,الغوفر سنجاب,gopher,gopher,gopher,gopher,gopher,суслік,черна американска змия,gopher,suseł,gopher,گلف,gopher,gopher,Gopher,суслик,gopher,gopher,taskurotta,gopher,gopher,გოფერი,ગોફર,гофер,gopher,부지런한 사람,gopher,gopher,Gopher,gopher,gopher,gopher,ಗೋಫರ್,gopher,glodar,gopher,lævigatis;,gophera,gopher,gopheris,Gopher,popândău,gopher,gopher,गोफर,ഗോഫർ,gopher,gopher,kaimene,gopher,খোঁড়া,Gopher,gopher,gopher,gopher,गोफर,gopher,ਗੋਫਰ,gopher,ګوتو,gopher,gopher,goa,гопхер,gopher,ගූෆර්,gopher,hlodavec,gopher,gopher,gopher,gopher,gopher,gopher,గోఫర్,கோபர்,หนูขนาดใหญ่,sincap,gopher,گوپر,Говер,gopher,gopher,סְנָאִי הָעַרָבָה,γεωμύξ,'ōpiopio,ميڊيڪل,hörcsög,gopher,gopher,gopher,citello,גאָופער,धानीमूष,gopher,menggali,gopher,gopher,gopher
gorilla,大猩猩,大猩猩,ゴリラ,bandit,غوريلا,ጎሪላ,goril,gorilla,gorilla,gorila,гарыла,горила,gorilla,goryl,gorila,گوریل,gorilla,gorilla,Gorilla,горилла,gorille,gorilya,gorilla,gorilla,gorilla,გორილა,ગોરિલા,гориллы,goril,고릴라,gorilla,gorilla,горилла,gorila,goril·la,gorila,ಗೊರಿಲ್ಲಾ,gorilla,gorila,gorîla,catus,gorilla,gorilla,gorila,gorilla,gorilă,rajako,Gorilla,गोरिला,ഗോരില,gorila,горила,gorilla,gorilla,বনমানুষ,အာဖရိကတိုက်လူဝံ,liab twm hawj,gorilla,i-gorilla,गोरिल्ला,gorilla,ਗੋਰਿਲਾ,gorila,گوریلا,gorilla,gorilla,gorila,горила,gorilla,ගෝරිල්ලා,gorilo,gorila,gorila,gorila,gorilla,gorilya,Gorilla,gorilla,గొరిల్లా,கொரில்லா,กอริลลา,goril,gorila,گوریلا,горилла,goril,goril,גוֹרִילָה,γορίλλας,ʻo Gorilla,گوريلا,gorilla,gorilla,գորիլա,gorilla,gorilla,gorilla,गोरिल्ला,gorila,gorila,gorila,Gorilla,con khỉ đột
hamster,仓鼠,倉鼠,ハムスター,lloj brejtësi,الهمستر حيوان قارض,እንጆሪ,hamster,hamster,hamster,Hamster,хамяк,хамстер,hamstur,chomik,hrčak,همستر,hamster,hamster,Hamster,хомяк,hamster,hamster,hamsteri,hamster,hamster,hamster,હેમસ્ટર,хомяк,amstè,햄스터,hamster,hamster,контур,hamster,hàmster,křeček,ಹ್ಯಾಮ್ಸ್ಟರ್,hamster,hrčak,hamster,criceta,kāmja,hamster,žiurkėnas,Hamster,hamster,hamster,ħamster,हम्सटर,ഹാംസ്റ്റർ,hamster,хрчак,hamster,шишүүхэй,ধেড়ে ইঁদুরের ন্যায় প্রাণিবিশেষ,ဟမ်းစတား,Hamster,hamster,hamster,हम्सटर,hamster,ਹੱਫਟਰ,hamster,هامټر,hamster,hamster,hamster,хрчак,hamster,හැම්ඩර්,hamstro,škrečok,hrček,hrček,hamster,hamster,hamster,hamster,చిట్టెలుక,வெள்ளெலி,หนูแฮมสเตอร์,hamster,hamster,ہیمٹرٹر,хом'як,Hamster,Hamster,אוֹגֵר,χάμστερ,hamster,حميٽر,hörcsög,hamster,Համստեր,hamster,criceto,האַמסטער,हम्सटर,Hamster,hamster,hamster,hamster,hamster
hedgehog,猬,猬,ヘッジホッグ,iriq,قنفذ,ሹራብ,kirpi,gráinneog,siil,hedgehog,вожык,таралеж,Broddgöltur,jeż,jež,جوجه تيغي,krimpvarkie,pindsvin,Igel,еж,hérisson,hedgehog,siili,hedgehog,hedgehog,ზღარბი,હેજહોગ,кірпі,Lerison,고슴도치,yanki,egel,кирпичечен,ourizo,eriçó,ježek,ಮುಳ್ಳುಹಂದಿ,erica,jež,jîjo,ericius,ezis,hedgehog,ežiukas,Kéiseker,arici,sokina,qanfud,हेजहोग,മുള്ളന്പന്നി,landak,еж,kapi,зараа,অসামাজিক ব্যক্তি,ဖြူကောင်,hedgehog,i hedgehog,i-hedgehog,हड्डी,pinnsvin,ਹੈੱਜਸ,ouriço,هجګګ,hedgehog,igelkott,paʻu,јеж,hedgehog,හෙඩ්ජෝග්,erinaco,ježko,hedgehog,hedgehog,gràineag,hedgehog,budada,чарб,ముళ్ళ,ஹெட்ஜ்ஹாக்,เม่น,kirpi,draenog,ہیج ہاگ,їжак,kirpi,kirpi,קִפּוֹד,Σκατζόχοιρος,ʻo ka uluna,هيڊ هج,sündisznó,hedgehog,ոզնի,hedgehog,riccio,העדגעהאָג,कांटेदार जंगली चूहा,landak,landak,landhep,hedgehog,nhím
hippo,河马,河馬,ヒッポ,Agostini,فرس النهر,ጉማሬ,hippo,hippo,hippo,Hipo,гіпапатам,хипопотам,flóðhestur,hipopotam,hipo,اسب آبی,seekoei,flodhest,Nilpferd,Бегемот,hippopotame,hippo,virtahepo,hippo,hippo,ჰიპო,હિપ્પો,иппо,Ipopotam,하마,hippo,nijlpaard,Бегемот,hipopótamo,hipopòtam,Hroch,ಹಿಪ್ಪೋ,Hippo,konj,hippo,hippocentaurum,hippo,hippo,hippo,Hippo,Hippo,hipopotama,hippo,पाणघोडा,ഹിപ്പോ,hippo,нилски коњ,hippo,Хиппо,জলহস্তী,hippo,hippo,imvu,imvubu,hippo,flodhest,ਹਿਪੋਂ,hipopótamo,هیپو,mvuu,flodhäst,sulu,нилски коњ,kubu,හිපෝ,hipopo,hroch,konj,konj,hippo,hippo,hippo,hippo,హిప్పో,நீர்யானை,ฮิปโป,suaygırı,hippo,ہپو,бегемот,hippo,hippo,היפופוטם,ιπποπόταμος,hippo,هيلو,viziló,mvuu,hippo,hippo,ippopotamo,כיפּאָו,हिप्पो,hippo,kuda nil,hippo,hippo,con hà mã
honeybee,蜜蜂,蜜蜂,ミツバチ,blete mjalti,عسل النحل,የማር ንብ,balaybee,BEACH mheala,mesilane,Erlea,пчала,медна пчела,hunangsfluga,pszczoła miodna,pcela,زنبور عسل,heuningby,honningbi,Honigbiene,пчела,abeille,bubuyog,hunajamehiläinen,Honeybee,ទឹកឃ្មុំ,ფუტკრის თაფლი,મધમાખી,бал арасы,siwo myèl,꿀벌,honeybee,honingbij,бал аары,abella,mel d'abella,včelí med,ಜೇನು ನೊಣ,abella,pčela radilica,honeybee,honeybee,medus bite,ນ​້​ໍ​າ​ເຜິ້ງ,medaus BITĖ,Honnerte,albina,tantely,naħal tal-għasel,मधमाशी,തേനീച്ച,madu lebah,пчела,Tuhinga o mua,зөгийн бал,মৌমাছি,ဆက်များ,honeybee,ubusi lentliziyo,i-honeybee,माहुरी,honningbie,ਮਧੂ ਮੱਖੀ,abelha de mel,د شاتو مچۍ,wokondedwa,honungsbi,fagu pepe,пчела,honeybee,මී මෑස්සා,honeybee,včela medonosná,čebela,čebela,bean-meala,honeybee,Honeybee,данд,తేనెటీగ,தேனீ,น้ำผึ้ง,bal arısı,gwenynen,شہد کی مکھی,медоносна бджола,Asalari,Asalari,דבורת דבש,μέλισσα,ʻo ka honeybee,ماکيء جي مک,háziméh,nyuchi,մեղու,honeybee,Ape,האניג בין,मधुमक्खी,honeybee,lebah madu,madu,oyin,ong mật
horse,马,馬,うま,kalë,حصان,ፈረስ,atı,capall,hobune,zaldi,конь,кон,hestur,koń,konj,اسب,perd,hest,Pferd,лошадь,cheval,kabayo,hevonen,hynder,សេះ,ცხენი,ઘોડો,жылқы,chwal,말,doki,paard,ат,cabalo,cavall,kůň,ಕುದುರೆ,cavallu,konj,hesp,equus,zirgs,ມ້າ,arklys,Päerd,cal,soavaly,żiemel,घोडा,കുതിര,kuda,коњ,hoiho,морь,ঘোড়া,မြင်း,nees,ihashe,ihhashi,घोडा,hest,ਘੋੜਾ,cavalo,آس,kavalo,häst,solofanua,коњ,pere,අශ්වයායි,ĉevalo,kôň,konj,konj,each,kabayo,faras,ат,గుర్రం,குதிரை,ม้า,at,ceffyl,گھوڑے,кінь,ot,ot,סוּס,άλογο,lio,گهوڙي,ló,bhiza,ձին,ịnyịnya,cavallo,פערד,घोड़ा,kuda,kuda,jaran,ẹṣin,con ngựa
hummingbird,蜂鸟,蜂鳥,ハチドリ,hummingbird,طائر الطنان,ሃሚንግበርድ,hummingbird,colúnán,kolb,hummingbird,калібры,колибри,Hummingbird,koliber,kolibri,زرین پر، زرین بال,hummingbird,kolibri,Kolibri,колибри,colibri,hummingbird,kolibri,hummingbird,ហាំមីងឃីត,hummingbird,હમીંગબર્ડ,қытырлақшы,Kolibri,벌새,hummingbird,kolibrie,колибри,colibrí,colibrí,kolibřík,ಹಮ್ಮಿಂಗ್ಬರ್ಡ್,colibris,ptice,hummingbird,hummingbird,kolibri,hummingbird,kolibris,Kolibris,pasărea Colibri,Kôlibria,Hummingbird,हिंगिंगबर्ड,ഹമിങ്ബേർഡ്,hummingbird,сколовранец,Tuhinga o mua,калибр шувуу,খঁজনা,ငှက်ပိတ,hummingbird,i-hummingbird,i-hummingbird,hummingbird,hummingbird,ਹਿੰਗਬਬਰਡ,beija Flor,hummingbird,hummingbird,kolibri,hummingbird,колибри,hummingbird,හුරුබුහුටි,kolibro,kolibrík,Kolibri,Kolibri,hummingbird,hummingbird,Hummingbird,гулингбирд,హమ్మింగ్,ஓசனிச்சிட்டு,นกที่เล็กที่สุดของโลก,sinekkuşu,colibryn,hummingbird,колібрі,chirigan,chirigan,יונק הדבש,κολίμπρι,ka hummingbird,هوٽل,kolibri,hummingbird,հմմինգդորդը,hummingbird,colibrì,כאַמינגבירד,चिड़ियों,hummingbird,burung kolibri,hummingbird,hummingbird,chim ruồi
husky,沙哑,沙啞,ハスキー,i ngjirur,أجش,ባዶ,hörümçək,husky,husky,Husky,хрыплы,дрезгав,husky,ochrypły,husky,هسکی,hees,husky,heiser,хриплый,rauque,husky,husky,husky,ស្វា,husky,હાશકી,қуырылған,Husky,에스키모 개의,husky,schor,кирилдеп,husky,husky,chraplavý,ಹಸ್ಕಿ,husky,eskimski,hêrs,Canis lupus familiaris,Husky,husky,Husky,husky,răgușit,husky,husky,काळीभोर,ഹസ്കി,husky,ескини,pouri,husky,বলবান,ပြာ,husky,husky,husky,हजुरआमा,husky,ਹਾੱਸੀ,husky,وروره,husky,hes,faʻafefe,хуски,husky,හිසක්,husky,chrapľavý,Husky,Husky,husky,husky,husky,husky,హస్కీ,உமி,แหบแห้ง,boğuk,husky,بھوک,хрипкий,husky,husky,צָרוּד,μεγαλόσωμος,pōkole,سخي,rekedt,husky,հույժ,husky,rauco,husky,कर्कश,husky,serak,husky,husky,khàn
iguana,鬣蜥,鬣蜥,イグアナ,iguana,الإغوانا,iguana,iguana,iguana,iguaan,iguana,ігуана,игуана,igúana,iguana,iguana,ایگوانا,iguana,leguan,Leguan,игуана,iguane,iguan,iguana,iguana,iguana,iguana,આઇગુઆના,игуана,igwan,이구아나,iguana,leguaan,Iguana,iguana,iguana,iguana,ಇಗುವಾನಾ,iguana,iguana,iguana,iguana,iguana,iguana,iguana,iguana,iguană,iguana,iguana,आयगाना,iguana,iguana,игуана,iguana,iguana,গোধা,iguana,iguana,iguana,iguana,iguana,iguana,ਆਈਗੁਆਨਾ,iguana,iguana,iguana,leguan,iguana,игуана,iguana,ඉගුවානා,iguana,leguán,iguana,iguana,iguana,iguana,iana,Манна,ఉడుము,உடும்பு,จิ้งเหลน,iguana,iguana,iguana,ігуана,iguana,iguana,איגואנה,ιγκουάνα,keiko,iguana,iguána,iguana,iguana,iguana,iguana,iguana,गोधा,iguana,iguana,iguana,igina,Kỳ nhông
jackal,狐狼,狐狼,ジャッカル,çakall,ابن آوى,ተኩላ,çaqqal,jackal,šakaal,jackal,шакал,чакал,jakka,szakal,šakal,شغال,jakkals,sjakal,Schakal,шакал,chacal,jackal,sakaali,jackal,jackal,jackal,શિયાળ,шакал,jackal,재칼,jackal,jakhals,пакет,chacal,xacal,šakal,ನರಿ,jackal,šakal,zelal,"fui draconum,",šakaāls,jackal,šakalas,Jackal,şacal,loharanon'ny dragona,jackal,कोल्हा,ജാക്കൽ,serigala,чакал,Tuhinga o mua,jackal,শৃগাল,နဂါး,jackal,jackal,jackal,स्याल,sjakal,ਗਿੱਦੜ,chacal,جمال,jackal,schakal,kiona,Шакал,jackal,ෂකාල්,jakalo,šakal,Šakal,Šakal,jackal,unggoy,jackal,Ҷалол,నక్క,குள்ளநரி,ลิ่วล้อ,çakal,jacal,جمال,шакал,chaqqon,chaqqon,תַן,τσακάλι,kāhea,جمال,sakál,jackal,շիկահեր,jackal,sciacallo,jackal,सियार,Jackal,serigala,jackal,jackal,jackal
jellyfish,海蜇,海蜇,クラゲ,kandil deti,قناديل البحر,ጄሊፊሽ,meduza,smugairle róin,millimallikas,medusen,медуза,медуза,Marglytta,Meduza,meduza,عروس دریایی,jellievis,vandmand,Qualle,медуза,méduse,dikya,meduusa,jellyfish,jellyfish,jellyfish,જેલીફીશ,медузы,fosilize yo,해파리,jellyfish,kwal,медуза,medusas,medusa,Medúza,ಜೆಲ್ಲಿ ಮೀನು,medusa,meduza,tebakî nav avê,jellyfish,medūzas,jellyfish,medūza,Fudder,meduză,jellyfish,bram,जेलीफिश,ജെല്ലിഫിഷ്,ubur-ubun,медуза,te tipu,медуз,জেলি-মাছ,ပင်လယ်ခူ,jellyfish,jellyfish,i-jellyfish,जेलीफिश,manet,ਜੈਲੀਫਿਸ਼,medusa,جیلیفش,jellyfish,manet,maʻa,медуза,jellyfish,ජෙලිෆිෂ්,meduzoj,medúza,meduz,meduz,sgiobair,sabayon,jellyfish,jellyfish,జెల్లీఫిష్,ஜெல்லிமீன்,แมงกระพรุน,Deniz anası,pysgod môr,جیلیفش,медуза,meduza,meduza,מדוזה,μέδουσα,kāpili,جليفش,medúza,jellyfish,մեդուզա,jellyfish,Medusa,דזשעלליפיש,जेलिफ़िश,ubur-ubur,ubur-ubur,ubur-ubur,jellyfish,con sứa
kangaroo,袋鼠,袋鼠,カンガルー,kangur,كنغر,ካንጋሮ,kanguru,kangaroo,känguru,kanguru,кенгуру,кенгуру,kangaroo,kangur,kenguru,کانگورو,kangaroo,kænguru,Känguru,кенгуру,kangourou,kangaroo,kenguru,kangaroo,កង់ហ្គោរ,კენგურა,કાંગારું,кенгуру,kangouwou,캥거루,kangaroo,kangoeroe,кенгуру,canguro,cangur,klokan,ಕಾಂಗರೂ,canguru,klokan,kengûrû,Macropus,ķengurs,kangaroo,Kengūra,Känguru,cangur,kangaroo,kangaru,कांगारू,കങ്കാരു,kangaroo,кенгур,kangaroo,Кенгуру,ক্যাঙ্গারু,သားပိုက်ကောင်,kangaroo,kangaroo,i-kangaroo,कंगारू,kenguru,ਕਾਂਗੜੂ,canguru,کنگارو,kangaroo,känguru,kangaroo,кенгуру,kangaroo,කැන්ගරු,kanguruo,klokan,kenguru,kenguru,kangaroo,kangaroo,Kangaroo,Kangaroo,కంగారు,கங்காரு,จิงโจ้,kanguru,cangŵl,کنگارو,кенгуру,kanguru,kanguru,קנגרו,καγκουρώ,ʻike,ڪانگارو,kenguru,kangaroo,Կենգուրու,kangaroo,canguro,קאַנגגערו,कंगेरू,kangguru,kanguru,kangaroo,kangaroo,Kangaroo
kiwi,奇异果,奇異果,キウイ,kivi,كيوي,ኪዊ,kivi,kiwi,Kiwi,kiwi,ківі,киви,kiwi,kiwi,kiwi,کیوی,kiwi,kiwi,Kiwi,киви,kiwi,kiwi,kiivi,kiwi,សត្វ​ឃី​វី,კივი,કિવિ,киви,kiwi,키위,kiwi,kiwi,Kiwi,kiwi,kiwi,kiwi,ಕಿವಿ,kiwi,kivi,kiwi,kiwi,kivi,kiwi,kivi,Kiwi,kiwi,kiwi,kiwi,किवी,കിവി,kiwi,киви,kiwi,Киви,কিউই,ကီဝီ,kiwi,ikiwi,ikiwi,किवी,kiwi,ਕੀਵੀ,kiwi,کیوی,kiwi,kiwi,Kiwi,киви,kiwi,කීවි,kivo,kiwi,kiwi,kiwi,kiwi,kiwi,kiwi,киви,కివి,கிவி,กีวี่,kivi,kiwi,کیوی,ківі,kivi,kivi,קיווי,ακτινίδια,kiwi,نيوي,kiwi,kiwi,կիվի,kiwi,Kiwi,קיווי,कीवी,buah kiwi,Kiwi,kiwi,KIWI,Quả kiwi
koala,考拉,考拉,コアラ,koalë,الكوال دب أسترالي,ኮዋላ,koala,koala,koala,koala,каала,коала,koala,koala,koala,کوالا,koala,koala,Koala,коала,koala,koala,koala,koala,កូឡា,კოლა,કોઆલા,коала,koala,코알라,koala,koala,Koala,koala,koala,koala,ಕೋಲಾ,koala,koala,koala,koala,koala,koala,Koala,Koalabär,koala,Koala,koala,कोआला,കോല,koala,коала,koala,Koala,কোয়ালা,koala,koala,koala,i-koala,कोला,koala,ਕੋਆਲਾ,koala,کوالا,koala,koala,koala,коала,koala,කෝලා,koala,koala,koala,koala,koala,koala,koala,koala,కోలా,கோலா,สัตว์มีถุงหน้าท้องคล้ายหมี,koala,koala,کوالا,коала,koala,koala,קוֹאָלָה,δενδρόβιο ζώο της αυστραλίας,koala,ڪوالا,koala,koala,koala,koala,koala,קאָאַלאַ,कोअला,koala,koala,koala,koala,koala
lion,狮子,獅子,ライオン,luan,أسد,አንበሳ,aslan,leon,lõvi,lehoia,леў,лъв,ljón,Lew,lav,شیر نر,leeu,løve,Löwe,лев,Lion,leon,leijona,liuw,តោ,ლომი,સિંહ,арыстан,lyon,사자,zaki,leeuw,арстан,león,lleó,lev,ಸಿಂಹ,u lione,lav,şêr,leo,lauva,ຊ້າງ,liūtas,Léiw,leu,liona,iljun,सिंह,സിംഹം,singa,Лав,raiona,арслан,সিংহ,ခြင်္သေ့သည်,tsov ntxhuav,ngonyama,ingonyama,सिंह,løve,ਸ਼ੇਰ,leão,شیر,mkango,lejon,leona,лав,tau,සිංහයා,leono,lev,lev,lev,leòmhann,leon,libaax,шер,సింహం,சிங்கம்,สิงโต,aslan,llew,شیر,лев,sher,sher,אַריֵה,λιοντάρι,kini,شعر,oroszlán,shumba,առյուծը,ọdụm,Leone,לייב,शेर,singa jalu,singa,singa,kiniun,sư tử
lemur,狐猴,狐猴,キツネザル,lemur,ليمور نوع من القردة,ሎሚ,lemur,lemur,lemur,lemur,лемур,лемур,lemur,lemur,lemur,لئورور,lemur,lemur,Lemur,лемур,maki,lemur,puoliapina,lemur,lemur,lemur,લીમુર,лимур,Limyè,여우 원숭이,lemur,lemur,Лемуры,lémur,Lemur,lemur,ಲೆಮೂರ್,Lemur,lemur,lemur,lemur,lemurs,lemur,lemūrai,Lemur,lemur,gidro,lemur,लेमूर,lemur,lemur,лемур,lemur,lemur,লেমুর,lemur,lemur,lemur,lemur,lemur,lemur,lemur,lemur,لمر,lemur,lemur,lemur,лемур,lemur,ලීමර්,lemur,lemur,Lemur,Lemur,lemur,lemur,lemur,лемур,లెమర్,நரி போன்ற முகம் கொண்ட,สัตว์จำพวกลิง,maki,lemur,lemur,лемур,lemur,lemur,לֵמוּר,κερκοπίθηκος,lemur,لمر,makimajom,lemur,lemur,lemur,lemure,lemur,बंदर,lemur,kubung,lemur,lemur,vong linh
leopard,豹,豹,ヒョウ,leopard,فهد,ነብር,leopard,liopard,leopard,lehoinabar,леапард,леопард,hlébarði,lampart,leopard,پلنگ,luiperd,leopard,Leopard,леопард,léopard,leopardo,leopardi,leopard,ខ្លាដំបង,ლეოპარდი,ચિત્તો,леопард,leyopa,표범,damisa,luipaard,кабылан,leopardo,leopard,leopard,ಚಿರತೆ,leopardo,leopard,leopar,pardus,leopards,leopard,leopardas,Leopard,leopard,leoparda,leopard,बिबट्या,പുള്ളിപ്പുലി,harimau,леопард,reparo,ирвэс,চিতা,ကျားသစ်,tsov txaij,ingwe,ingwe,तेंदुए,leopard,ਚੀਤਾ,leopardo,تاوان,kambuku,leopard,leopata,леопард,lengau,දිවියා,leopardo,leopard,Leopard,Leopard,leopard,leopardo,leopard,лазер,చిరుత,சிறுத்தை,เสือดาว,leopar,leopard,چیتے,леопард,leopard,leopard,נָמֵר,λεοπάρδαλη,leopadi,ڪوڙا,leopárd,ingwe,ընձառյուծ,agụ owuru,leopardo,לעמפּערט,तेंदुआ,maung tutul,macan tutul,macan tutul,amotekun,báo
